                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.66401,                0.44793,                 1.4221,                0.97237,                0.96051,                0.95959,                0.85494,                0.65427,                0.43839,                 1.4208,              0.0003664,              0.0003664,              0.0003664
                     67,                0.65102,                0.42929,                 1.4146,                0.97106,                0.95432,                0.96834,                 0.8654,                0.66465,                0.42442,                 1.4319,              0.0003565,              0.0003565,              0.0003565
                     68,                0.63412,                0.41758,                 1.3935,                0.97184,                0.95893,                0.96621,                0.86988,                0.64076,                0.44499,                 1.3973,              0.0003466,              0.0003466,              0.0003466
                     69,                 0.6221,                0.41227,                 1.3748,                0.97641,                0.96051,                0.97313,                0.87034,                0.63438,                 0.4064,                 1.3876,              0.0003367,              0.0003367,              0.0003367
                     70,                0.60548,                0.39443,                  1.352,                0.97309,                0.95893,                0.97227,                0.87791,                0.59879,                0.39039,                 1.3491,              0.0003268,              0.0003268,              0.0003268
                     71,                0.60632,                0.38698,                 1.3448,                 0.9708,                0.96524,                0.97591,                0.88331,                0.58398,                0.39693,                 1.3229,              0.0003169,              0.0003169,              0.0003169
                     72,                0.57419,                0.39132,                 1.3083,                0.97284,                 0.9621,                0.96694,                0.88763,                0.57677,                0.37987,                 1.3139,               0.000307,               0.000307,               0.000307
                     73,                0.57764,                0.37793,                 1.3199,                0.97597,                0.96227,                 0.9711,                0.88879,                0.57865,                0.38385,                  1.317,              0.0002971,              0.0002971,              0.0002971
                     74,                0.58073,                 0.3788,                 1.3132,                0.97485,                0.96051,                0.97411,                0.89701,                0.56135,                0.37501,                 1.2979,              0.0002872,              0.0002872,              0.0002872
                     75,                0.55522,                0.39421,                 1.2904,                0.97098,                0.95893,                0.97104,                0.89522,                0.56856,                0.37931,                 1.3029,              0.0002773,              0.0002773,              0.0002773
